"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"5395";0;0;0;1;0;0;1;0;0;0;67;1614;26,12;11,6886893012099;24;83;13;47,9232;7,68356;17817;"6"
"5396";0;0;0;1;0;1;0;0;0;0;32;3267;26,02;14,3612634685963;24;82;13;47,6124;8,17078;2343;"8"
"5397";0;0;1;1;0;1;0;0;0;0;62;2937;31,31;13,4652419927536;24;80;0;47,814;8,32346;6774;"5"
"5398";0;0;0;1;0;1;0;0;0;0;62;3496;72,63;13,6303534241283;12;93;13;47,814;8,32346;6774;"8"
"5399";0;0;0;1;0;0;1;0;0;0;42;1410;-41,08;9,7640053030303;24;87;13;47,8792;7,66162;5848;"6"
"5400";1;0;0;1;0;0;1;0;0;0;49;1670;63,85;11,3724243732738;12;94;37;47,9389;7,76123;2507;"6"
"5401";0;0;0;1;0;1;0;0;0;0;71;2850;13,9;13,1356826090576;24;93;13;47,814;8,32346;6774;"8"
"5402";0;0;0;1;0;1;0;0;0;0;89;2652;-20,15;14,0724058171933;24;93;13;47,814;8,32346;6774;"8"
"5403";0;0;0;1;0;1;0;0;0;0;85;2820;27,87;12,1073529158383;12;93;37;47,8296;8,42503;1221;"8"
"5404";0;0;0;1;0;0;1;0;0;0;85;2017;0,2;10,0161677989759;12;88;37;47,8792;7,66162;5848;"6"
"5405";0;0;1;1;1;0;1;0;0;0;53;2930;-179,7;14,31535;12;87;13;47,8792;7,66162;5848;"0"
"5406";0;0;0;1;0;1;0;0;0;0;67;3228;57,16;13,8323559259259;24;94;31;47,962;7,74013;5969;"8"
"5407";0;0;0;1;0;0;1;0;0;0;35;2839;6,55;10,497444520757;24;82;0;47,9389;7,76123;2507;"6"
"5408";0;0;0;1;0;1;0;0;0;0;41;1676;91,47;9,68735825748258;24;94;13;47,8296;8,42503;1221;"8"
"5409";0;0;0;1;0;1;0;0;0;0;75;3006;-47,32;13,2077439410349;24;76;0;47,7745;8,25041;2198;"8"
"5410";0;0;0;1;0;0;1;0;0;0;74;1667;23,15;10,6746395397112;24;87;13;47,8792;7,66162;5848;"6"
"5411";0;0;1;1;1;1;0;0;0;0;45;3671;101,37;14,3235157002468;12;89;13;47,814;8,32346;6774;"0"
"5412";0;0;0;1;0;1;0;0;0;0;50;2757;-20,5;12,8630443736384;24;88;13;47,6004;8,33152;5289;"8"
"5413";0;0;0;1;0;1;0;0;0;0;62;3184;74,92;13,056756864777;12;89;37;47,814;8,32346;6774;"8"
"5414";0;0;0;1;1;0;1;0;0;0;82;2067;43,95;12,8078833812261;12;94;13;47,9389;7,76123;2507;"3"
"5415";1;0;0;1;1;0;1;0;0;0;63;2388;600,08;14,1596979082774;24;76;0;47,6527;8,24516;22160;"0"
"5416";1;0;0;1;0;0;1;0;0;0;79;1885;67,01;12,8555073194366;24;92;13;47,9389;7,76123;2507;"6"
"5417";1;0;0;1;0;0;1;0;0;0;35;1149;72,91;9,92298964419475;12;87;13;47,6256;8,33273;7512;"6"
"5418";0;0;1;1;0;1;0;0;0;0;63;3331;51,05;13,4382124318464;12;87;13;47,8123;7,65944;18072;"5"
"5419";1;0;0;1;0;1;0;0;0;0;57;3043;634,88;13,7029305803242;24;83;13;47,6124;8,17078;2343;"8"
"5420";1;0;0;1;0;1;0;0;0;0;76;1582;66,65;9,41218987179487;24;91;37;49,6757;6,72715;4357;"0"
