"";"Bill_shock";"Online_account";"Opt_In_Mail";"Opt_In_Post";"Opt_In_Tel";"MA_Grundversorger";"MA_Erweitert";"MA_Restlich";"Recovered";"Continuous_relationship";"Age";"Consumption";"Annual_account";"DBII";"Minimum_contract_term";"Customer_since_interval";"Contract_start_date_interval";"Longitude";"Latitude";"Inhabitants";"Cluster"
"806";0;0;0;1;0;1;0;0;0;0;63;2858;52,9;6,17132222556302;24;92;24;47,9147;7,82312;2254;"6"
"807";0;0;0;1;0;1;0;0;0;0;73;7133;-1042,78;8,00989789098465;24;92;22;47,7723;8,09896;5386;"0"
"808";1;0;0;1;0;1;0;0;0;0;61;1022;81,54;7,76731645045965;24;87;13;47,8123;7,65944;18072;"6"
"809";0;0;0;1;0;1;0;0;0;0;77;3752;-82,42;6,46855156109557;24;92;23;47,814;8,32346;6774;"6"
"810";0;0;0;0;0;0;1;0;0;0;42;1210;21,71;7,91486223872387;12;88;13;47,8792;7,66162;5848;"0"
"811";0;0;0;1;0;1;0;0;0;0;66;4593;-22,23;7,30249507575758;24;87;25;47,7236;8,29654;5208;"6"
"812";0;0;0;1;0;0;1;0;0;0;74;356;-13,83;5,80997060606061;24;92;37;51,3617;6,79139;16266;"0"
"813";0;0;0;1;0;1;0;0;0;0;80;3396;36,87;6,30680143594323;24;81;23;47,6802;8,19808;3120;"6"
"814";0;0;0;1;0;0;1;0;0;0;58;811;11,91;7,96203518984812;12;92;13;47,9232;7,68356;17817;"7"
"815";0;0;0;1;0;1;0;0;0;0;33;2891;-67,37;6,36113800685242;24;81;25;47,7723;8,09896;5386;"6"
"816";0;0;0;1;0;1;0;0;0;0;54;3534;15,92;6,50346645025296;24;92;24;47,814;8,32346;6774;"6"
"817";0;0;0;1;0;1;0;0;0;0;78;4356;12,84;6,74637576351108;24;87;22;47,8123;7,65944;18072;"6"
"818";0;0;0;1;0;1;0;0;0;0;63;1591;-29,72;5,48671603932584;24;83;23;47,962;7,74013;5969;"6"
"819";0;0;0;1;0;0;1;0;0;0;83;3812;-171,06;6,49610333333333;24;88;23;47,8792;7,66162;5848;"7"
"820";0;0;0;1;0;0;1;0;0;0;68;745;-224,95;7,69964568568699;12;89;13;47,8587;7,6373;3822;"7"
"821";0;0;0;1;0;0;1;0;0;0;78;306;-52,4;6,05810073498965;24;88;13;47,9232;7,68356;17817;"7"
"822";1;0;0;1;0;1;0;0;0;0;83;3548;139,81;6,37704581953363;24;93;22;47,814;8,32346;6774;"6"
"823";0;0;0;1;0;0;1;0;0;0;46;1854;-6,76;8,22773184186882;12;87;13;47,8792;7,66162;5848;"7"
